NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
ICOSAPENTAENOATE METABOLITES BIOSYNTHESIS%BIOCYC%PWY-8399	3		Rejected!	
PUTRESCINE BIOSYNTHESIS I%BIOCYC%PWY-40	2		Rejected!	
PHOSPHATIDYLETHANOLAMINE BIOSYNTHESIS II%BIOCYC%PWY4FS-6	6		Rejected!	
CARNOSINE BIOSYNTHESIS%BIOCYC%PWY66-420	1		Rejected!	
CHOLESTEROL BIOSYNTHESIS III (VIA DESMOSTEROL)%BIOCYC%PWY66-4	12		Rejected!	
PYRIMIDINE DEOXYRIBONUCLEOTIDE PHOSPHORYLATION%BIOCYC%PWY-7197	10		Rejected!	
PROTECTIN BIOSYNTHESIS%BIOCYC%PWY-8357	3		Rejected!	
L-LYSINE DEGRADATION (PIPECOLATE PATHWAY)%BIOCYC%PWY66-425	5		Rejected!	
CHONDROITIN SULFATE DEGRADATION (METAZOA)%BIOCYC%PWY-6573	3		Rejected!	
(S)-RETICULINE BIOSYNTHESIS%BIOCYC%PWY-6133	1		Rejected!	
ATP BIOSYNTHESIS%BIOCYC%PWY-7980	33	31		
FOLATE POLYGLUTAMYLATION%BIOCYC%PWY-2161	5		Rejected!	
L-SERINE BIOSYNTHESIS%BIOCYC%SERSYN-PWY	4		Rejected!	
L-ASPARAGINE DEGRADATION I%BIOCYC%ASPARAGINE-DEG1-PWY	2		Rejected!	
ITACONATE BIOSYNTHESIS I%BIOCYC%PWY-5750	1		Rejected!	
5-AMINOIMIDAZOLE RIBONUCLEOTIDE BIOSYNTHESIS%BIOCYC%PWY-6121	3		Rejected!	
PYRIMIDINE RIBONUCLEOSIDES SALVAGE I%BIOCYC%PWY-7193	4		Rejected!	
SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%BIOCYC%PWY66-5	24	24		
PUTRESCINE BIOSYNTHESIS III%BIOCYC%PWY-46	2		Rejected!	
PYRIMIDINE RIBONUCLEOSIDES DEGRADATION%BIOCYC%PWY0-1295	3		Rejected!	
KETOGENESIS%HUMANCYC%REACT_1464.NULL	5		Rejected!	
D-GLUCURONATE DEGRADATION%BIOCYC%PWY-5525	3		Rejected!	
D-<I>MYO< I>-INOSITOL (1,4,5)-TRISPHOSPHATE BIOSYNTHESIS%BIOCYC%PWY-6351	25	25		
ETHANOL DEGRADATION IV%BIOCYC%PWY66-162	6		Rejected!	
CARBON DISULFIDE OXIDATION III (METAZOA)%BIOCYC%PWY-7926	1		Rejected!	
L-ISOLEUCINE DEGRADATION%BIOCYC%ILEUDEG-PWY	11		Rejected!	
GLYCINE BIOSYNTHESIS%BIOCYC%GLYSYN-ALA-PWY	2		Rejected!	
ARACHIDONATE BIOSYNTHESIS V (8-DETATURASE, MAMMALS)%BIOCYC%PWY-7725	3		Rejected!	
SUPERPATHWAY OF GLYCOSPHINGOLIPIDS BIOSYNTHESIS%BIOCYC%PWY-7835	26	26		
HEME DEGRADATION I%BIOCYC%PWY-5874	4		Rejected!	
PHOSPHATIDYLETHANOLAMINE BIOSYNTHESIS III%BIOCYC%PWY-6273	1		Rejected!	
NEOLACTO-SERIES GLYCOSPHINGOLIPIDS BIOSYNTHESIS%BIOCYC%PWY-7841	13		Rejected!	
GDP-L-FUCOSE BIOSYNTHESIS II (FROM L-FUCOSE)%BIOCYC%PWY-6	2		Rejected!	
GDP-L-FUCOSE BIOSYNTHESIS I (FROM GDP-D-MANNOSE)%BIOCYC%PWY-66	1		Rejected!	
THIAMINE SALVAGE III%BIOCYC%PWY-6898	1		Rejected!	
THYMINE DEGRADATION%BIOCYC%PWY-6430	3		Rejected!	
<I>S< I>-METHYL-5'-THIOADENOSINE DEGRADATION%BIOCYC%PWY-6756	1		Rejected!	
NAD PHOSPHORYLATION AND TRANSHYDROGENATION%BIOCYC%NADPHOS-DEPHOS-PWY-1	2		Rejected!	
CHOLINE DEGRADATION%BIOCYC%CHOLINE-BETAINE-ANA-PWY	2		Rejected!	
ADENINE AND ADENOSINE SALVAGE VI%BIOCYC%PWY-6619	1		Rejected!	
PLASMALOGEN BIOSYNTHESIS%BIOCYC%PWY-7782	15	15		
L-DOPA AND L-DOPACHROME BIOSYNTHESIS%BIOCYC%PWY-6481	1		Rejected!	
L-TRYPTOPHAN DEGRADATION XI (MAMMALIAN, VIA KYNURENINE)%BIOCYC%PWY-6309	14		Rejected!	
ESTRADIOL BIOSYNTHESIS I (VIA ESTRONE)%BIOCYC%PWY66-380	6		Rejected!	
ICOSAPENTAENOATE BIOSYNTHESIS III (8-DESATURASE, MAMMALS)%BIOCYC%PWY-7724	9		Rejected!	
SULFITE OXIDATION%BIOCYC%PWY-5326	1		Rejected!	
HISTAMINE BIOSYNTHESIS%BIOCYC%PWY-6173	1		Rejected!	
GANGLIO-SERIES GLYCOSPHINGOLIPIDS BIOSYNTHESIS%BIOCYC%PWY-7836	9		Rejected!	
ABH AND LEWIS EPITOPES BIOSYNTHESIS FROM TYPE 1 PRECURSOR DISACCHARIDE%BIOCYC%PWY-7832	6		Rejected!	
METHYLGLYOXAL DEGRADATION III%BIOCYC%PWY-5453	3		Rejected!	
S-ADENOSYL-L-METHIONINE BIOSYNTHESIS%BIOCYC%SAM-PWY	3		Rejected!	
PLASMALOGEN DEGRADATION%BIOCYC%PWY-7783	2		Rejected!	
SUPERPATHWAY OF PYRIMIDINE RIBONUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY0-162	14		Rejected!	
1D-<I>MYO< I>-INOSITOL HEXAKISPHOSPHATE BIOSYNTHESIS V (FROM INS(1,3,4)P3)%BIOCYC%PWY-6554	3		Rejected!	
GLYCINE SERINE BIOSYNTHESIS%BIOCYC%GLYSYN-PWY	2		Rejected!	
OLEATE BIOSYNTHESIS%BIOCYC%PWY-5996	6		Rejected!	
C20 PROSTANOID BIOSYNTHESIS%HUMANCYC%15369	14		Rejected!	
3-PHOSPHOINOSITIDE DEGRADATION%BIOCYC%PWY-6368	19	19		
ULTRA-LONG-CHAIN FATTY ACID BIOSYNTHESIS%BIOCYC%PWY-8041	3		Rejected!	
COENZYME A BIOSYNTHESIS II (EUKARYOTIC)%BIOCYC%PWY-7851	3		Rejected!	
RESOLVIN D BIOSYNTHESIS%BIOCYC%PWY66-397	5		Rejected!	
ACETONE DEGRADATION I (TO METHYLGLYOXAL)%BIOCYC%PWY-5451	5		Rejected!	
ARACHIDONATE METABOLITES BIOSYNTHESIS%BIOCYC%PWY-8397	28	28		
PROTEIN CITRULLINATION%BIOCYC%PWY-4921	5		Rejected!	
L-PHENYLALANINE DEGRADATION I (AEROBIC)%BIOCYC%PHENYLALANINE-DEG1-PWY	1		Rejected!	
PHOSPHATIDYLSERINE BIOSYNTHESIS II%BIOCYC%PWY-7506	1		Rejected!	
D-<I>MYO< I>-INOSITOL (1,3,4)-TRISPHOSPHATE BIOSYNTHESIS%BIOCYC%PWY-6364	15	15		
INOSITOL DIPHOSPHATES BIOSYNTHESIS%BIOCYC%PWY-6369	7		Rejected!	
THYRONAMINE AND IODOTHYRONAMINE METABOLISM%BIOCYC%PWY-6688	3		Rejected!	
THIOREDOXIN PATHWAY%BIOCYC%THIOREDOX-PWY	3		Rejected!	
15-<I>EPI< I>-LIPOXIN BIOSYNTHESIS%BIOCYC%PWY66-393	2		Rejected!	
ACETYL-COA BIOSYNTHESIS FROM CITRATE%BIOCYC%PWY-5172	1		Rejected!	
KETOLYSIS%HUMANCYC%REACT_59.NULL	4		Rejected!	
2'-DEOXY-&ALPHA;-D-RIBOSE 1-PHOSPHATE DEGRADATION%BIOCYC%PWY-7180	6		Rejected!	
ANANDAMIDE LIPOXYGENATION%BIOCYC%PWY-8056	3		Rejected!	
L-METHIONINE SALVAGE FROM L-HOMOCYSTEINE%BIOCYC%ADENOSYLHOMOCYSCAT-PWY	3		Rejected!	
SUPERPATHWAY OF MELATONIN DEGRADATION%BIOCYC%PWY-6402	12		Rejected!	
2-AMINO-3-CARBOXYMUCONATE SEMIALDEHYDE DEGRADATION TO GLUTARYL-COA%BIOCYC%PWY-5652	3		Rejected!	
GLUTATHIONE-PEROXIDE REDOX REACTIONS%BIOCYC%PWY-4081	6		Rejected!	
NAD SALVAGE%BIOCYC%NAD-BIOSYNTHESIS-III	4		Rejected!	
HISTAMINE DEGRADATION%BIOCYC%PWY-6181	2		Rejected!	
CDP-DIACYLGLYCEROL BIOSYNTHESIS%BIOCYC%PWY-5667	18	18		
RAPOPORT-LUEBERING GLYCOLYTIC SHUNT%BIOCYC%PWY-6405	2		Rejected!	
FATTY ACID &ALPHA;-OXIDATION III%BIOCYC%PWY66-388	3		Rejected!	
GLUCONEOGENESIS%BIOCYC%PWY66-399	24	24		
PHENYLETHYLAMINE DEGRADATION I%BIOCYC%2PHENDEG-PWY	6		Rejected!	
PENTOSE PHOSPHATE PATHWAY (NON-OXIDATIVE BRANCH)%BIOCYC%NONOXIPENT-PWY	4		Rejected!	
VERY LONG CHAIN FATTY ACID BIOSYNTHESIS II%BIOCYC%PWY-7036	4		Rejected!	
ARACHIDONATE BIOSYNTHESIS III (6-DESATURASE, MAMMALS)%BIOCYC%PWY-7592	13		Rejected!	
D-<I>MYO< I>-INOSITOL (3,4,5,6)-TETRAKISPHOSPHATE BIOSYNTHESIS%BIOCYC%PWY-6365	2		Rejected!	
&GAMMA;-GLUTAMYL CYCLE%BIOCYC%PWY-4041	7		Rejected!	
UTP AND CTP DEPHOSPHORYLATION I%BIOCYC%PWY-7185	3		Rejected!	
GLYCOGENOLYSIS%BIOCYC%PWY-5941	11		Rejected!	
L-VALINE DEGRADATION%BIOCYC%VALDEG-PWY	12		Rejected!	
ARG N-END RULE PATHWAY (EUKARYOTIC)%BIOCYC%PWY-7799	8		Rejected!	
ASPIRIN TRIGGERED RESOLVIN D BIOSYNTHESIS%BIOCYC%PWY66-395	2		Rejected!	
L-ASPARTATE BIOSYNTHESIS%BIOCYC%ASPARTATESYN-PWY	2		Rejected!	
OXIDIZED GTP AND DGTP DETOXIFICATION%BIOCYC%PWY-6502	1		Rejected!	
GDP-GLUCOSE BIOSYNTHESIS II%BIOCYC%PWY-5661-1	7		Rejected!	
MELATONIN DEGRADATION II%BIOCYC%PWY-6399	1		Rejected!	
TRNA SPLICING II%BIOCYC%PWY-7803	10		Rejected!	
PYRIMIDINE DEOXYRIBONUCLEOSIDES SALVAGE%BIOCYC%PWY-7199	5		Rejected!	
PYRIMIDINE DEOXYRIBONUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-7184	14		Rejected!	
L-PROLINE BIOSYNTHESIS%BIOCYC%PROSYN-PWY	3		Rejected!	
4-HYDROXY-2-NONENAL DETOXIFICATION%BIOCYC%PWY-7112	5		Rejected!	
PURINE NUCLEOTIDES DEGRADATION%BIOCYC%PWY-6353	11		Rejected!	
L-CYSTEINE BIOSYNTHESIS%BIOCYC%PWY-6292	6		Rejected!	
L-METHIONINE SALVAGE CYCLE%BIOCYC%PWY-7527	10		Rejected!	
D-<I>MYO< I>-INOSITOL (1,4,5)-TRISPHOSPHATE DEGRADATION%BIOCYC%PWY-6363	13		Rejected!	
2-METHYL-BRANCHED FATTY ACID &BETA;-OXIDATION%BIOCYC%PWY-8181	1		Rejected!	
BMP SIGNALLING PATHWAY%HUMANCYC%REACT_12034.NULL	7		Rejected!	
LEUKOTRIENE BIOSYNTHESIS%HUMANCYC%15354	8		Rejected!	
PROGESTERONE BIOSYNTHESIS%BIOCYC%PWY-7299	2		Rejected!	
L-GLUTAMATE BIOSYNTHESIS%BIOCYC%GLUTAMATE-SYN2-PWY	2		Rejected!	
RETINOATE BIOSYNTHESIS II%BIOCYC%PWY-6875	4		Rejected!	
GLUTATHIONE BIOSYNTHESIS%BIOCYC%GLUTATHIONESYN-PWY	3		Rejected!	
DOPAMINE DEGRADATION%BIOCYC%PWY6666-2	5		Rejected!	
MARESIN BIOSYNTHESIS%BIOCYC%PWY-8356	3		Rejected!	
L-ASPARTATE DEGRADATION I%BIOCYC%ASPARTATE-DEG1-PWY	2		Rejected!	
GALA-SERIES GLYCOSPHINGOLIPIDS BIOSYNTHESIS%BIOCYC%PWY-7840	3		Rejected!	
SORBITOL DEGRADATION I%BIOCYC%PWY-4101	1		Rejected!	
PYRUVATE FERMENTATION TO (<I>S< I>)-LACTATE%BIOCYC%PWY-5481	3		Rejected!	
PUTRESCINE DEGRADATION III%BIOCYC%PWY-0	10		Rejected!	
CREATINE-PHOSPHATE BIOSYNTHESIS%BIOCYC%PWY-6158	4		Rejected!	
QUEUOSINE BIOSYNTHESIS II (QUEUINE SALVAGE)%BIOCYC%PWY-8105	2		Rejected!	
L-LEUCINE DEGRADATION%BIOCYC%LEU-DEG2-PWY	12		Rejected!	
GLYCEROL-3-PHOSPHATE SHUTTLE%BIOCYC%PWY-6118	1		Rejected!	
L-ASPARAGINE DEGRADATION%BIOCYC%ASPARAGINE-DEG1-PWY-1	4		Rejected!	
SEROTONIN DEGRADATION%BIOCYC%PWY-6313	9		Rejected!	
ADENOSINE RIBONUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-7219	10		Rejected!	
ACYL-COA HYDROLYSIS%BIOCYC%PWY-5148	3		Rejected!	
ANANDAMIDE BIOSYNTHESIS II%BIOCYC%PWY-8053	5		Rejected!	
L-TRYPTOPHAN DEGRADATION TO 2-AMINO-3-CARBOXYMUCONATE SEMIALDEHYDE%BIOCYC%PWY-5651	7		Rejected!	
UDP-&ALPHA;-D-XYLOSE BIOSYNTHESIS%BIOCYC%PWY-4821	2		Rejected!	
PHOSPHOLIPASES%BIOCYC%LIPASYN-PWY	42	42		
EPOXYSQUALENE BIOSYNTHESIS%BIOCYC%PWY-5670	2		Rejected!	
CARDENOLIDE BIOSYNTHESIS%BIOCYC%PWY-6032	2		Rejected!	
CHOLESTEROL BIOSYNTHESIS I%BIOCYC%PWY66-341	12		Rejected!	
OPHTHALMATE BIOSYNTHESIS%BIOCYC%PWY-8043	4		Rejected!	
COENZYME A BIOSYNTHESIS%BIOCYC%COA-PWY-1	6		Rejected!	
