Gene	GSM7465903	GSM7465905	GSM7465907	GSM7465909	GSM7465911	GSM7465913	GSM7465915	GSM7465917	GSM7465919
ABI2	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	3.64929398466919	3.27446687914152	3.9463548381944	3.93069878678076	3.52510151594927
ABI3	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	6.0146950959436	6.0127050448879	6.26801951467652	6.40461026550255	5.45440503895261
ABI3BP	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-0.235340663129788	-1.86573162228269	-1.35082553848561	-1.77627287265135	-2.43564143663598
ABITRAM	4.44529707760391	5.59385684510841	5.14802545882592	5.34667688982282	2.65525065493856	2.56451948154132	3.04730642788138	2.52451543092756	2.10564770802473
ABL1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	3.43551280308983	4.05837827840384	3.15191561867337	3.14723630108482	3.44551728217442
ABL2	0.779725060151776	2.42007834138846	2.13580504023738	2.66896517736945	2.77215439042162	2.96272999498735	2.70160369676088	2.4974095269048	3.60052416581
ABLIM1	1.39834003687966	1.4986766788552	1.15894477058938	1.16551773080846	5.33375601012102	5.22284692298146	6.32133293970627	5.29421487916149	5.43393101274516
ABLIM2	-0.633904514250899	-2.43564143663598	-1.27785641916722	-2.43564143663598	0.719889752658135	1.91324467425028	1.30119640609287	-0.884098829374964	0.0124326142138436
ABLIM3	-2.43564143663598	-2.43564143663598	-2.43564143663598	-0.959686702416579	-2.43564143663598	-2.43564143663598	-2.43564143663598	-1.96444273133989	-2.43564143663598
ABO	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	0.319930341278149	3.81393227414712	2.11415683407797	1.51713756178049	-1.35551739229356
ABR	0.644878337221349	0.142017845209981	0.830098943565743	-1.51661541928687	4.38692869387229	4.98250803496767	4.21135315304892	4.39945416179986	4.05841295021686
ABRA	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-1.79358463967636	-2.18088970646378	-2.43564143663598
ABRACL	4.75457668491184	5.25520501555463	5.37462829701339	5.87988795720621	6.72786642781994	6.69746584356502	6.93358667742991	6.79849325976191	6.68587837909311
ABRAXAS1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	2.45995258113745	2.22094294907565	3.50780310228463	3.00692686161832	2.62234239624277
ABRAXAS2	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	2.98088476695849	2.82367510386349	2.93451490873782	3.24282221546224	3.17645646830782
ABT1	4.02418195599078	4.71426149803485	4.98135168681488	5.18955490132507	4.2922237883104	4.37710163861712	4.3350107286959	4.69419680592516	4.43322625922564
ABTB1	2.34684941011543	3.19239164758383	2.73779246421752	2.68752217160224	4.73539428745325	4.07380301685043	5.1377536157264	4.95551335617588	5.06821047349258
ABTB2	-0.0727521259744528	0.644087431126976	-0.204996199861227	0.505706710629678	2.52803206732762	3.63832905346134	0.881783961174129	1.07899110447879	2.03490449072928
ABTB3	3.75626695047641	5.06541351522146	4.7750003422111	4.79524767628666	1.43855113142627	2.22094294907565	3.10055896151505	2.53343872902921	2.66980766879957
ACAA1	4.77893249818585	5.47597941422919	5.75803982388935	5.51976226021606	5.29520353107243	6.94819496989977	5.54557205361639	5.43300912636163	5.26649329261794
ACAA2	1.94918044780469	2.11055331262296	1.75307961595948	2.23667381151239	4.9859068821361	5.8786116838786	5.10338000687732	5.35210136282564	4.97681082277496
ACACA	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	3.0049741941503	2.96272999498735	3.02910962910434	2.96136658291645	2.96442032044224
ACACB	-2.43564143663598	-1.73856784154549	-2.43564143663598	-2.43564143663598	2.23401522589782	3.11958953062887	2.42371293725184	1.71835395124727	1.71111705093356
